Molecule_name	Molecule_name_numeric	GenBank_sequence	RefSeq_sequence
chr1	1	CM000663.2	NC_000001.11
chr2	2	CM000664.2	NC_000002.12
chr3	3	CM000665.2	NC_000003.12
chr4	4	CM000666.2	NC_000004.12
chr5	5	CM000667.2	NC_000005.10
chr6	6	CM000668.2	NC_000006.12
chr7	7	CM000669.2	NC_000007.14
chr8	8	CM000670.2	NC_000008.11
chr9	9	CM000671.2	NC_000009.12
chr10	10	CM000672.2	NC_000010.11
chr11	11	CM000673.2	NC_000011.10
chr12	12	CM000674.2	NC_000012.12
chr13	13	CM000675.2	NC_000013.11
chr14	14	CM000676.2	NC_000014.9
chr15	15	CM000677.2	NC_000015.10
chr16	16	CM000678.2	NC_000016.10
chr17	17	CM000679.2	NC_000017.11
chr18	18	CM000680.2	NC_000018.10
chr19	19	CM000681.2	NC_000019.10
chr20	20	CM000682.2	NC_000020.11
chr21	21	CM000683.2	NC_000021.9
chr22	22	CM000684.2	NC_000022.11
chrX	23	CM000685.2	NC_000023.11
chrY	24	CM000686.2	NC_000024.10
